originregion_id,originregion_name,destinationregion_id,destinationregion_name,origin_iso,origin_name,destination_iso,destination_name,regionflow_2003,regionflow_2004,regionflow_2005,regionflow_2006,regionflow_2007,regionflow_2008,regionflow_2009,regionflow_2010,regionflow_2011,regionflow_2012,regionflow_2013,regionflow_2014,countryflow_2003,countryflow_2004,countryflow_2005,countryflow_2006,countryflow_2007,countryflow_2008,countryflow_2009,countryflow_2010,countryflow_2011,countryflow_2012,countryflow_2013,countryflow_2014
4,State Colleges,3,State Universities,AMC,Atlanta Metropolitan State College,SSU,Savannah State University,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,1,1,1,2,4,1,2,4,2,5,2,5
3,State Universities,3,State Universities,CSC,Clayton State University,GSW,Georgia Southwestern State University,691,801,890,788,844,859,880,964,938,1023,728,557,2,3,3,2,1,2,2,3,0,3,5,2
4,State Colleges,4,State Colleges,WAY,Waycross College,SGC,South Georgia College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,25,29,37,21,41,45,38,48,26,41,12,0
3,State Universities,4,State Colleges,FVS,Fort Valley State University,ABC,Abraham Baldwin Agricultural College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,1,2,1,1,1,1,2,1,0,1,1,0
4,State Colleges,2,Comprehensive Universities,MGSC,Middle Georgia State College,VSU,Valdosta State University,2310,2327,2400,2470,2585,2724,3056,3082,3117,2916,2704,2555,19,20,42,50,32,27,29,18,23,18,17,9
4,State Colleges,3,State Universities,GDN,Gordon State College,CSC,Clayton State University,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,66,85,114,75,76,67,71,56,114,90,70,68
4,State Colleges,4,State Colleges,GPC,Georgia Perimeter College,MID,Middle Georgia College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,5,4,9,9,2,8,14,13,8,9,4,0
1,Research Universities,3,State Universities,GIT,Georgia Institute of Technology,SSU,Savannah State University,436,407,418,376,360,378,409,384,369,436,388,333,0,0,0,0,0,0,0,1,0,0,1,0
3,State Universities,4,State Colleges,CSU,Columbus State University,MAC,Macon State College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,5,6,5,9,10,9,5,16,4,5,2,0
4,State Colleges,4,State Colleges,ABC,Abraham Baldwin Agricultural College,SGSC,South Georgia State College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,0,0,0,0,0,0,7,13
3,State Universities,2,Comprehensive Universities,SSU,Savannah State University,GSC,Georgia Southern University,582,576,679,635,613,675,718,750,897,853,685,665,18,18,18,21,15,15,33,35,29,36,34,41
3,State Universities,4,State Colleges,SSU,Savannah State University,GGC,Georgia Gwinnett College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,0,0,0,0,2,4,9,4,10
4,State Colleges,2,Comprehensive Universities,GGC,Georgia Gwinnett College,VSU,Valdosta State University,2310,2327,2400,2470,2585,2724,3056,3082,3117,2916,2704,2555,0,0,0,0,0,0,0,0,0,0,9,2
3,State Universities,3,State Universities,FVS,Fort Valley State University,ALS,Albany State University,691,801,890,788,844,859,880,964,938,1023,728,557,3,3,2,10,8,8,7,7,4,1,7,5
