originregion_id,originregion_name,destinationregion_id,destinationregion_name,origin_iso,origin_name,destination_iso,destination_name,regionflow_2003,regionflow_2004,regionflow_2005,regionflow_2006,regionflow_2007,regionflow_2008,regionflow_2009,regionflow_2010,regionflow_2011,regionflow_2012,regionflow_2013,regionflow_2014,countryflow_2003,countryflow_2004,countryflow_2005,countryflow_2006,countryflow_2007,countryflow_2008,countryflow_2009,countryflow_2010,countryflow_2011,countryflow_2012,countryflow_2013,countryflow_2014
2,Comprehensive Universities,4,State Colleges,VSU,Valdosta,MGSC,Middle Georgia,796,829,788,778,919,992,1146,1132,1227,1166,1227,1065,0,0,0,0,0,0,0,0,0,0,28,32
3,State Universities,3,State Universities,FVS,Fort Valley,UNGA,University of North Georgia,691,801,890,788,844,859,880,964,938,1023,728,557,0,0,0,0,0,0,0,0,0,0,0,2
1,Research Universities,4,State Colleges,GSU,Georgia,GHC,Georgia Highlands,409,451,427,403,456,524,640,626,671,612,536,604,5,4,5,11,4,8,12,7,7,7,18,11
4,State Colleges,1,Research Universities,CCG,College of Coastal Georgia,AUG,Augusta,2001,1836,2056,2253,2125,2248,2316,2402,2371,2253,2416,2484,2,1,3,3,2,1,3,2,1,4,2,0
3,State Universities,4,State Colleges,SPS,Southern Polytechnic,BAN,Bainbridge,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,0,0,0,0,0,0,0,0,0
3,State Universities,3,State Universities,GSW,Georgia Southwestern,NGC,North Georgia,691,801,890,788,844,859,880,964,938,1023,728,557,1,0,2,0,1,0,1,1,2,2,1,0
4,State Colleges,4,State Colleges,GPC,Georgia Perimeter,SGSC,South Georgia,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,0,0,0,0,0,0,5,1
4,State Colleges,4,State Colleges,AMC,Atlanta Metropolitan,WAY,Waycross,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,1,0,1,2,0,0,0,0
4,State Colleges,3,State Universities,CCG,College of Coastal Georgia,GAN,Gainesville,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,10,3,5,6,10,3,6,6,2,6,2,0
3,State Universities,4,State Colleges,UNGA,University of North Georgia,ABC,Abrah. Baldwin Agric.,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,1,0,0,1,3,2,0,2,0,2,0,3
4,State Colleges,4,State Colleges,EGC,East Georgia,AMC,Atlanta Metropolitan,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,3,5,0,0,0,0,1,2,2,8,7,3
4,State Colleges,3,State Universities,MAC,Macon,SSU,Savannah,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,0,1,3,2,1,3,4,2,0,2,0,0
4,State Colleges,4,State Colleges,GDN,Gordon,MAC,Macon,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,55,30,42,53,58,42,45,51,43,50,19,0
4,State Colleges,4,State Colleges,CCG,College of Coastal Georgia,AMC,Atlanta Metropolitan,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,1,0,1,1,1,0,1,2,0,2,1,0
4,State Colleges,4,State Colleges,EGC,East Georgia,GHC,Georgia Highlands,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,1,1,2,1,2,2,2,2,7,6,4,3
2,Comprehensive Universities,1,Research Universities,UWG,University of West Georgia,UGA,University of Georgia,728,750,761,875,902,923,976,965,1101,1069,996,949,35,39,32,42,37,29,48,47,41,33,36,43
4,State Colleges,4,State Colleges,ABC,Abrah. Baldwin Agric.,BAN,Bainbridge,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,2,5,4,12,13,8,10,12,14,11,5,9
2,Comprehensive Universities,3,State Universities,GSC,Georgia Southern,GCM,Georgia,550,601,590,596,633,639,702,707,658,775,750,647,12,10,13,18,10,12,12,15,5,18,15,9
4,State Colleges,2,Comprehensive Universities,MGSC,Middle Georgia,UWG,University of West Georgia,2310,2327,2400,2470,2585,2724,3056,3082,3117,2916,2704,2555,10,5,9,5,9,19,14,18,14,9,10,2
4,State Colleges,4,State Colleges,ABC,Abrah. Baldwin Agric.,WAY,Waycross,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,2,3,3,1,2,0,12,11,2,2,0,0
2,Comprehensive Universities,3,State Universities,UWG,University of West Georgia,CSU,Columbus,550,601,590,596,633,639,702,707,658,775,750,647,14,10,8,10,9,4,11,9,4,12,12,14
4,State Colleges,1,Research Universities,BAN,Bainbridge,GSU,Georgia,2001,1836,2056,2253,2125,2248,2316,2402,2371,2253,2416,2484,0,1,3,3,2,3,3,3,1,3,2,2
4,State Colleges,3,State Universities,DAR,Darton,GSW,Georgia Southwestern,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,96,89,74,79,99,85,102,127,97,114,95,82
3,State Universities,4,State Colleges,AAS,Armstrong Atlantic,MAC,Macon,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,4,6,7,9,7,6,8,6,5,6,4,0
4,State Colleges,3,State Universities,DAL,Dalton,CSU,Columbus,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,2,0,3,1,3,3,3,1,2,1,4,3
3,State Universities,1,Research Universities,GAN,Gainesville,UGA,University of Georgia,797,1005,1253,1175,1268,1322,1589,1468,1541,1444,1108,1146,174,322,435,417,437,454,569,520,525,445,276,0
4,State Colleges,2,Comprehensive Universities,MAC,Macon,VSU,Valdosta,2310,2327,2400,2470,2585,2724,3056,3082,3117,2916,2704,2555,19,25,18,18,12,20,19,22,15,10,6,0
